Type,Component,Labour/Transport/Wastage/Profit,Labour/Transport/Plant_Fixed,Time/Distance,Rate,Quantity,BOQ UoM,Comment,,,,,,,
"Door - 825 x 1960 x 44mm Thick Flush Door",,,,,,,,,,,,,,,
"Door - 825 x 1960 x 44mm Thick Rosewoodveneered H/C Door",,,,,,,,,,,,,,,
"Door - 825 x 1960 x44mm Thick MukwaDoor",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 25 x 25 x3mm angle iron x 6metres","Equal Angles 25 x 25 x3mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 30 x 30 x3mm angle iron x 6metres","Equal Angles 30 x 30 x3mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 40 x 40 x5mm angle iron x 6metres","Equal Angles 40 x 40 x5mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 50 x 50 x5mm angle iron x 6metres","Equal Angles 50 x 50 x5mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 60 x 60 x5mm angle iron x 6metres","Equal Angles 60 x 60 x5mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 70 x 70 x8mm angle iron x 6metres","Equal Angles 70 x 70 x8mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 80 x 80 x8mm angle iron x 6metres","Equal Angles 80 x 80 x8mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Equal Angles 90 x 90 x8mm angle iron x 6metres","Equal Angles 90 x 90 x8mm angle iron x 6metres",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Cement 42.5-50Kg,,,,,7,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Building Sand,,,,,0.7,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Quarry Dust (A),,,,,1.4,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,"High tensile steel rod 12mm diameter deformed bars x12meters",,,,,16.67,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,"High tensile steel rod 8mm diameter round bars x 12meters",,,,,5.5,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,"Timber - Sawn softwood 100 x 25mm x 5m",,,,,20,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,"Steel nails - 4 inches(Concrete Nails)",,,,,1,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Tying wire - 1.6mm 25Kg,,,,,0.08,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Labour Skilled ,,0,,,,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Labour Unskilled,,0,,,,,,Labour for ...,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Labour  Hours,,,1,200,,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Transport ,15%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Transport Fixed,,0,,,,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Transport  Kilometres,,,0,0,,,,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Reinforced Concrete Ring Beam_100x200mm,Profit and Overheads,5%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Ring Beam_150x200mm,Cement 42.5-50Kg,,,,,7,,,,,,,,,
Ring Beam_150x200mm,Building Sand,,,,,0.7,,,,,,,,,
Ring Beam_150x200mm,Quarry Dust (A),,,,,1.4,,,,,,,,,
Ring Beam_150x200mm,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Ring Beam_150x200mm,Labour Skilled ,,100,,,,,,,,,,,,
Ring Beam_150x200mm,Labour Unskilled,,200,,,,,,Labour for ...,,,,,,
Ring Beam_150x200mm,Labour  Hours,,,1,200,,,,,,,,,,
Ring Beam_150x200mm,Transport ,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
Ring Beam_150x200mm,Transport Fixed,,100,,,,,,,,,,,,
Ring Beam_150x200mm,Transport  Kilometres,,,1,100,,,,,,,,,,
Ring Beam_150x200mm,Wastage and Shrinkage losses,2%,,,,,,Test cubes & other losses,,,,,,,
Ring Beam_150x200mm,Plant and Equipment,0%,0,0,0,,,"Concrete Mixer, Pocker",,,,,,,
Ring Beam_150x200mm,Profit and Overheads,7%,,,,,,Profit and Overheads,,,,,,,
,,,,,,,,,,,,,,,
Ring Beam_200x200mm,Cement 42.5-50Kg,,,,,7,,,,,,,,,
Ring Beam_200x200mm,Building Sand,,,,,0.7,,,,,,,,,
Ring Beam_200x200mm,Quarry Dust (A),,,,,1.4,,,,,,,,,
Ring Beam_200x200mm,Labour ,25%,,,,1,,Labour @ 20% of material cost,,,,,,,
Ring Beam_200x200mm,Labour Skilled ,,100,,,,,,,,,,,,
Ring Beam_200x200mm,Labour Unskilled,,200,,,,,,Labour for ...,,,,,,
Ring Beam_200x200mm,Labour  Hours,,,1,200,,,,,,,,,,
Ring Beam_200x200mm,Transport ,7%,,,,1,,Transport @ 10% of material cost,Transport for ...,,,,,,
