Item,,UnitCost
Pipe 13mm (½ inch ) diameter GI -6m,Each,381
Pipe 13mm (½ inch) diameter PVC - 3m,Each,84
Pipe 19mm (3/4) diameter GI -6m,Each,593
Pipe 19mm (3/4) diameter PVC -6m,Each,115
Pipe 25mm (1 inch) diameter GI -6m,Each,942
Pipe 25mm (1 inch) diameter PVC -6m,Each,155
Pipe 32mm (¼) diameter PVC -6m,Each,169
Pipe 32mm (1 ¼) diameter GI -6m,Each,1120
Pipe 40mm ( 1 ½) diameter PVC -6m,Each,170
Pipe 40mm (1 ½) diameter GI -6m,Each,1242
Pipe 50mm (2 inches) diameter GI -6m,Each,1530
Pipe 50mm (2 inches) diameter PVC - 6m,Each,187
P-trap - 32mm Diameter Rubber,Each,78
Quarry Dust (A),Ton,324
Quarry Dust (C),Ton,289
Rain down PVC pipe - 150 x 150mm diameter,m,417
Rain gutter - 150 x 150mm x 3m -GI,Each,349
Rain gutter - 150 x 150mm x 6m-PVC,Each,500
Razor wire 500mm x 15 meters,Each,668
Rectangular tube 100 x 40mm x 6 metres,Each,705
Rectangular tube 50mm x 25 mm x 6 metres,Each,307
Rectangular tube 60 mm x 40mm x 6 metres,Each,397
Reducer - ¾ inches (19mm) x ½ inches (13mm) -GI,Each,23
Reducer - ¾ inches (19mm) x ½ inches (13mm) -PVC,Each,17
Reducer - 1 inch (25mm) x ¾inches (19mm -PVC,Each,22
Reducer - 1 inch (25mm) x ¾inches (19mm)-GI,Each,41
Return valve 1 ½ inches - GI,Each,272
Return valve 1 ½ inches PVC,Each,197
River sand,Ton,321
Roller Paint brush,Each,63
Roller Paint brush with tray,Each,97
Roof Sealant 5 litres,Each,375
Roofing nails 75mm GI,Kg,80
Roofing sheet 0.21mm Corrugated,m,78
Roofing sheet 0.21mm Corrugated (2m),Each,175
Roofing sheet 0.21mm Corrugated (3.5m),Each,250
Roofing sheet 0.25mm Corrugated,m,114
Roofing sheet 0.25mm Corrugated (2.5),Each,201
Roofing sheet 0.25mm Corrugated (3.5),Each,274
Roofing sheet 0.3mm Corrugated,m,109
Roofing sheet 0.3mm Corrugated (2m),Each,179
Roofing sheet 0.3mm Corrugated (3.5),Each,315
Roofing sheet 0.3mm thick IBR/IT4 colour coated sheet,m,119
Roofing sheet 0.3mm thick IBR/IT4 coloured ridge,m,112
Roofing sheet 0.3mm thick IBR/IT4 coloured Valley,m,116
Roofing sheet 0.3mm thick IBR/IT4 non coloured ridge,m,110
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet,m,104
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,204
,,
Roofing sheet 0.3mm thick IBR/IT4 non coloured roofing sheet (2m),Each,183
Roofing sheet 0.3mm thick versatile sheet,m,127
Roofing sheet 0.3mm thick versatile sheet (2m),Each,240
Roofing sheet 0.4mm Corrugated,m,144
Roofing sheet 0.4mm Corrugated (3.5m),Each,364
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet,m,139
Roofing sheet 0.4mm thick IBR/IT4 colour coated sheet (2m),Each,275
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge,m,116
Roofing sheet 0.4mm thick IBR/IT4 coloured ridge (2m),Each,215
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley,m,119
Roofing sheet 0.4mm thick IBR/IT4 coloured Valley (2m),Each,210
Roofing sheet 0.4mm thick IBR/IT4 non coloured ridge,m,114
Roofing sheet 0.4mm thick IBR/IT4 non coloured roofing sheet,m,140
Roofing sheet 0.4mm thick IBR/IT4 non coloured Valley,m,117
Roofing sheet 0.4mm thick versatile sheet,m,148
Roofing sheet 0.4mm thick versatile sheet(2m),Each,240
Roofing sheet 0.5mm Corrugated,m,174
Roofing sheet 0.5mm Corrugated(3.5m),Each,493
Roofing sheet 0.5mm thick IBR/IT4 colour coated sheet,m,166
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge,m,142
Roofing sheet 0.5mm thick IBR/IT4 coloured ridge(2m),Each,230
Roofing sheet 0.5mm thick IBR/IT4 coloured Valley,m,139
Roofing sheet 0.5mm thick IBR/IT4 non coloured ridge,m,139
Roofing sheet 0.5mm thick IBR/IT4 non coloured roofing sheet,m,159
Roofing sheet 0.5mm thick IBR/IT4 non coloured Valley,m,149
Roofing sheet 0.5mm thick versatile sheet,m,167
Roofing sheet 0.5mm thick versatile sheet (4m),Each,668
Scraper 1.5 inches,Each,23
Scraper 2.0 inches,Each,29
Scraper 3 inches,Each,36
Scraper 4 inches,Each,43
Scrapper 2.5 inches,Each,33
Sewer Pipe -110mm Diameter Heavy Duty PVC-6m Long),Each,397
Sewer Pipe -110mm Diameter Light Duty PVC-6m Long),Each,297
Shackle Insulator (Electricity Shackle),Each,79
Shovel,Each,232
Shower clip 13mm GI,Each,24
Shower clip 19mm GI,Each,30
Shower Curtain 1800 x1800mm,Each,274
Shower mixer - 13mm Diameter,Each,1517
Shower rose - 13mm,Each,116
Shower rose - 13mm PVC,Each,93
Shower rose - 19mm,Each,196
Shower tray - Acrylic,Each,823
Sink - Double drain and double bowl industrial stainless steel,Each,2399
Sink - Double drain and double bowl stainless steel,Each,1742
Sink - Single drain and single bowl industrial stainless steel,Each,1468
Sink - Single drain and single bowl stainless steel,Each,1180
Sink mixer - Kitchen and Laundry,Each,1111
Soap holder 150 x 150mm (Ceramic recessed),Each,138
Spirit level (Bubble Level) - 1200mm,Each,258
Spirit level (Bubble Level) - 600mm,Each,178
Square tube 16 x 16 mm x 6 metres x 1.6mm,Each,137
Square tube 20 x 20 mm x 6 metres x 1.6mm,Each,169
Square tube 25 x 25 mm x 6 metres x 1.6mm,Each,228
Square tube 30 x 30 mm x 6 metres x 1.6mm,Each,267
Square tube 40 x 40 mm x 6 metres x 1.6mm,Each,341
Square tube 50 x 50 mm x 6 metres x 1.6mm,Each,533
Steel door frame 1200 x 2000 mm complete with grill door,Each,2065
Steel door frame 1800 x 2000 mm complete with grill door,Each,2868
Steel door frame 600 x 2000 mm complete with grill door,Each,1305
Steel door frame 700 x 2000 mm complete with grill door,Each,1337
Steel door frame 800 x 2000mm complete with grill gate,Each,1507
Steel door frame 900 x 2000 mm complete with grill door,Each,1500
Steel door frame 900 x 2200 mm with fanlight complete with grill door,Each,1925
Steel nails - 1 inch (Concrete Nails),Kg,77
Steel nails - 2 inches (Concrete Nails),Kg,80
Steel nails - 3 inches (Concrete Nails ),kg,80
Steel nails - 4 inches (Concrete Nails),kg,82
Steel nails - 5 inches (Concrete Nails),Kg,86
,,
Steel window frame Overall size 1200 x 1100mm high complete with burglar bars,Each,1163
,,
Steel window frame Overall size 1200 x 500mm high complete with burglar bars,Each,892
,,
Steel window frame Overall size 1200 x 900mm high complete with burglar bars,Each,1317
,,
Steel window frame Overall size 1800 x 1100mm high complete with burglar bars,Each,2206
,,
Steel window frame Overall size 1800 x 900mm high complete with burglar bars,Each,2331
,,
Steel window frame Overall size 2400 x 1500mm high complete with burglar bars,Each,3627
,,
